Instancia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
303,0.65,0.25,0.74,0.33,0.78,0.28,0.61,0.26,0.64,0.35,0.7,0.4,0.75,0.39,0.64,0.24,0.72,0.36,0.64,0.21,0.78,0.3,0.75,0.27,0.75,0.35,0.76,0.27,0.63,0.32,0.7,0.3,0.74,0.37,0.61,0.37,0.66,0.39,0.6,0.4,0.67,0.24,0.74,0.36,0.74,0.29,0.77,0.27,0.8,0.23,0.29,0.37,81.25
304,0.7,0.35,0.72,0.36,0.79,0.21,0.63,0.21,0.69,0.36,0.67,0.28,0.74,0.31,0.7,0.29,0.68,0.36,0.78,0.24,0.6,0.27,0.79,0.23,0.77,0.2,0.69,0.38,0.65,0.35,0.75,0.4,0.75,0.37,0.76,0.21,0.67,0.38,0.66,0.28,0.63,0.32,0.69,0.24,0.67,0.25,0.78,0.27,0.7,0.1,0.34,0.09,81.25
305,0.62,0.23,0.74,0.23,0.8,0.28,0.6,0.33,0.7,0.26,0.6,0.27,0.71,0.31,0.66,0.29,0.77,0.27,0.67,0.21,0.64,0.26,0.64,0.34,0.6,0.2,0.61,0.23,0.6,0.23,0.78,0.23,0.72,0.26,0.72,0.21,0.64,0.35,0.71,0.26,0.71,0.4,0.79,0.35,0.77,0.26,0.64,0.26,0.84,0.24,0.79,0.34,78.12
306,0.67,0.37,0.8,0.32,0.74,0.38,0.63,0.26,0.66,0.34,0.71,0.33,0.74,0.29,0.69,0.4,0.7,0.27,0.7,0.31,0.78,0.33,0.69,0.32,0.78,0.36,0.64,0.27,0.75,0.24,0.76,0.32,0.72,0.27,0.69,0.27,0.63,0.2,0.74,0.32,0.67,0.36,0.75,0.36,0.69,0.32,0.8,0.28,0.1,0.25,0.39,0.37,97.92
307,0.68,0.21,0.73,0.25,0.73,0.25,0.63,0.27,0.62,0.27,0.72,0.27,0.78,0.4,0.64,0.29,0.76,0.38,0.64,0.21,0.62,0.38,0.79,0.37,0.6,0.31,0.62,0.29,0.6,0.36,0.71,0.28,0.7,0.38,0.76,0.36,0.8,0.32,0.73,0.33,0.79,0.3,0.79,0.39,0.8,0.22,0.62,0.37,0.22,0.32,0.16,0.14,100.0
308,0.72,0.4,0.63,0.4,0.71,0.25,0.6,0.3,0.73,0.21,0.72,0.38,0.75,0.21,0.64,0.29,0.79,0.29,0.61,0.37,0.7,0.36,0.67,0.32,0.7,0.21,0.64,0.31,0.68,0.22,0.75,0.23,0.69,0.22,0.8,0.36,0.62,0.29,0.79,0.3,0.71,0.4,0.77,0.34,0.8,0.35,0.74,0.3,0.81,0.34,0.64,0.21,83.33
309,0.7,0.4,0.69,0.25,0.62,0.32,0.72,0.2,0.78,0.26,0.77,0.25,0.63,0.22,0.79,0.31,0.7,0.34,0.66,0.25,0.69,0.29,0.74,0.36,0.73,0.37,0.78,0.34,0.7,0.36,0.74,0.33,0.61,0.36,0.74,0.23,0.69,0.4,0.64,0.22,0.76,0.27,0.64,0.27,0.72,0.33,0.64,0.4,0.11,0.17,0.6,0.04,100.0
310,0.8,0.25,0.66,0.38,0.7,0.36,0.74,0.28,0.63,0.27,0.8,0.22,0.62,0.35,0.63,0.36,0.79,0.21,0.68,0.32,0.67,0.32,0.78,0.3,0.65,0.35,0.66,0.31,0.8,0.33,0.65,0.34,0.64,0.28,0.7,0.23,0.64,0.25,0.8,0.22,0.68,0.29,0.76,0.26,0.73,0.37,0.73,0.39,0.1,0.0,0.87,0.33,94.79
311,0.7,0.37,0.78,0.32,0.69,0.4,0.64,0.22,0.65,0.28,0.62,0.37,0.75,0.4,0.67,0.37,0.75,0.2,0.69,0.31,0.65,0.21,0.62,0.35,0.77,0.32,0.75,0.26,0.72,0.3,0.6,0.22,0.73,0.36,0.69,0.38,0.65,0.23,0.67,0.24,0.76,0.38,0.7,0.25,0.66,0.29,0.78,0.39,0.76,0.06,0.25,0.2,90.62
312,0.72,0.36,0.65,0.26,0.76,0.26,0.8,0.34,0.8,0.25,0.78,0.35,0.77,0.22,0.69,0.25,0.71,0.38,0.72,0.3,0.68,0.29,0.64,0.4,0.79,0.2,0.78,0.31,0.68,0.2,0.77,0.23,0.65,0.36,0.72,0.23,0.74,0.26,0.65,0.37,0.6,0.23,0.61,0.37,0.68,0.32,0.64,0.27,0.58,0.08,0.79,0.2,91.67
313,0.73,0.38,0.67,0.27,0.7,0.32,0.63,0.25,0.66,0.27,0.78,0.34,0.62,0.37,0.77,0.23,0.71,0.3,0.8,0.25,0.73,0.38,0.77,0.37,0.73,0.3,0.65,0.24,0.63,0.29,0.65,0.23,0.65,0.24,0.67,0.2,0.6,0.37,0.73,0.33,0.63,0.26,0.69,0.37,0.69,0.26,0.71,0.3,0.92,0.11,0.49,0.15,80.21
314,0.64,0.3,0.72,0.26,0.68,0.32,0.73,0.37,0.75,0.27,0.78,0.28,0.74,0.22,0.63,0.3,0.75,0.28,0.75,0.29,0.64,0.2,0.75,0.2,0.6,0.38,0.68,0.21,0.77,0.38,0.66,0.36,0.8,0.27,0.63,0.4,0.72,0.29,0.74,0.2,0.66,0.34,0.67,0.39,0.75,0.31,0.63,0.4,0.22,0.2,0.26,0.03,100.0
315,0.73,0.26,0.8,0.27,0.65,0.36,0.71,0.4,0.63,0.27,0.74,0.24,0.63,0.24,0.8,0.25,0.73,0.24,0.69,0.22,0.65,0.29,0.66,0.37,0.78,0.33,0.8,0.3,0.75,0.36,0.71,0.36,0.6,0.25,0.72,0.3,0.71,0.39,0.75,0.28,0.66,0.25,0.79,0.27,0.63,0.21,0.65,0.25,0.92,0.18,0.48,0.21,83.33
316,0.64,0.39,0.74,0.39,0.74,0.34,0.73,0.21,0.65,0.38,0.74,0.31,0.64,0.32,0.63,0.39,0.76,0.33,0.64,0.23,0.66,0.34,0.63,0.27,0.64,0.36,0.63,0.27,0.69,0.23,0.63,0.21,0.7,0.32,0.6,0.3,0.69,0.28,0.76,0.25,0.69,0.25,0.7,0.35,0.71,0.36,0.63,0.33,0.59,0.27,0.4,0.02,100.0
317,0.75,0.29,0.77,0.28,0.6,0.29,0.74,0.39,0.74,0.32,0.63,0.36,0.77,0.29,0.62,0.4,0.66,0.37,0.72,0.37,0.68,0.21,0.61,0.3,0.7,0.36,0.69,0.26,0.66,0.21,0.77,0.21,0.7,0.35,0.61,0.33,0.67,0.35,0.68,0.34,0.66,0.23,0.73,0.22,0.61,0.39,0.6,0.35,0.67,0.22,0.09,0.01,95.83
318,0.74,0.3,0.7,0.35,0.69,0.29,0.7,0.33,0.65,0.21,0.78,0.27,0.73,0.22,0.75,0.4,0.73,0.32,0.73,0.22,0.74,0.23,0.8,0.33,0.61,0.23,0.6,0.36,0.61,0.27,0.75,0.2,0.63,0.2,0.69,0.27,0.76,0.3,0.64,0.27,0.8,0.31,0.6,0.25,0.64,0.37,0.8,0.38,0.72,0.02,0.86,0.1,87.5
319,0.61,0.31,0.67,0.37,0.7,0.34,0.73,0.31,0.61,0.38,0.72,0.34,0.62,0.3,0.62,0.27,0.64,0.23,0.68,0.27,0.65,0.27,0.73,0.33,0.79,0.21,0.8,0.37,0.71,0.24,0.77,0.29,0.72,0.39,0.73,0.2,0.66,0.32,0.63,0.31,0.6,0.38,0.72,0.2,0.67,0.24,0.79,0.27,0.57,0.02,0.68,0.28,82.29
320,0.61,0.35,0.66,0.4,0.75,0.2,0.77,0.36,0.67,0.4,0.72,0.2,0.61,0.32,0.8,0.29,0.69,0.27,0.72,0.21,0.78,0.38,0.63,0.39,0.69,0.21,0.63,0.23,0.71,0.34,0.74,0.28,0.75,0.29,0.79,0.23,0.76,0.2,0.77,0.23,0.71,0.26,0.64,0.34,0.6,0.25,0.78,0.37,0.86,0.16,0.09,0.16,72.92
321,0.78,0.32,0.62,0.2,0.8,0.36,0.69,0.27,0.67,0.24,0.66,0.27,0.7,0.3,0.78,0.35,0.79,0.23,0.66,0.4,0.61,0.21,0.78,0.28,0.66,0.2,0.63,0.3,0.68,0.27,0.62,0.23,0.71,0.34,0.62,0.3,0.76,0.31,0.75,0.2,0.67,0.37,0.72,0.27,0.72,0.35,0.78,0.36,0.7,0.31,0.52,0.19,83.33
322,0.62,0.28,0.65,0.27,0.73,0.2,0.62,0.31,0.61,0.25,0.71,0.27,0.73,0.35,0.6,0.39,0.64,0.22,0.66,0.27,0.72,0.24,0.65,0.27,0.73,0.24,0.64,0.28,0.78,0.32,0.69,0.32,0.71,0.28,0.61,0.37,0.73,0.33,0.76,0.28,0.63,0.22,0.76,0.26,0.78,0.25,0.77,0.35,0.41,0.06,0.22,0.17,97.92
323,0.64,0.25,0.75,0.4,0.7,0.39,0.75,0.31,0.71,0.36,0.69,0.36,0.65,0.39,0.75,0.26,0.8,0.28,0.61,0.24,0.72,0.3,0.68,0.36,0.78,0.39,0.79,0.34,0.79,0.24,0.64,0.26,0.78,0.26,0.77,0.4,0.72,0.35,0.72,0.29,0.67,0.21,0.71,0.24,0.61,0.27,0.76,0.4,0.18,0.12,0.91,0.39,98.96
324,0.67,0.36,0.69,0.27,0.72,0.38,0.78,0.21,0.73,0.23,0.61,0.25,0.8,0.34,0.74,0.34,0.68,0.31,0.71,0.23,0.61,0.23,0.65,0.21,0.75,0.28,0.72,0.24,0.76,0.3,0.78,0.3,0.69,0.3,0.77,0.29,0.8,0.34,0.65,0.35,0.72,0.26,0.6,0.29,0.65,0.4,0.69,0.38,0.46,0.11,0.05,0.21,84.38
325,0.66,0.32,0.69,0.26,0.79,0.27,0.74,0.36,0.72,0.23,0.74,0.32,0.6,0.26,0.63,0.33,0.69,0.37,0.71,0.38,0.62,0.23,0.71,0.27,0.61,0.33,0.64,0.21,0.8,0.29,0.61,0.23,0.7,0.24,0.73,0.22,0.7,0.22,0.61,0.22,0.67,0.35,0.67,0.35,0.79,0.24,0.67,0.37,0.81,0.1,0.61,0.12,83.33
326,0.66,0.31,0.67,0.2,0.64,0.35,0.74,0.27,0.79,0.24,0.61,0.31,0.69,0.21,0.64,0.23,0.8,0.34,0.78,0.38,0.71,0.38,0.71,0.37,0.68,0.26,0.75,0.39,0.7,0.33,0.71,0.28,0.79,0.35,0.7,0.36,0.74,0.37,0.78,0.24,0.63,0.37,0.8,0.3,0.67,0.39,0.77,0.27,0.86,0.27,0.22,0.08,77.08
327,0.65,0.25,0.79,0.39,0.7,0.4,0.8,0.27,0.76,0.25,0.72,0.34,0.8,0.3,0.65,0.35,0.67,0.27,0.79,0.22,0.7,0.2,0.73,0.36,0.8,0.31,0.62,0.4,0.77,0.37,0.64,0.34,0.78,0.26,0.64,0.27,0.7,0.35,0.76,0.2,0.72,0.22,0.6,0.34,0.6,0.33,0.78,0.2,0.99,0.36,0.12,0.23,68.75
328,0.62,0.4,0.7,0.33,0.7,0.39,0.63,0.34,0.61,0.24,0.65,0.27,0.64,0.26,0.7,0.32,0.8,0.38,0.76,0.26,0.68,0.28,0.77,0.27,0.77,0.23,0.63,0.22,0.63,0.33,0.76,0.37,0.61,0.2,0.62,0.38,0.71,0.32,0.76,0.39,0.72,0.24,0.77,0.21,0.65,0.37,0.61,0.4,0.01,0.35,0.25,0.04,100.0
329,0.78,0.31,0.79,0.28,0.78,0.25,0.77,0.32,0.74,0.39,0.6,0.27,0.64,0.38,0.79,0.38,0.62,0.32,0.75,0.22,0.68,0.29,0.78,0.29,0.79,0.29,0.8,0.33,0.75,0.2,0.8,0.26,0.63,0.32,0.63,0.29,0.8,0.34,0.62,0.24,0.71,0.37,0.73,0.26,0.62,0.39,0.69,0.4,0.29,0.34,0.6,0.09,100.0
330,0.74,0.31,0.8,0.37,0.74,0.28,0.67,0.31,0.78,0.4,0.72,0.24,0.63,0.27,0.73,0.28,0.78,0.2,0.73,0.31,0.65,0.4,0.65,0.28,0.68,0.35,0.69,0.24,0.75,0.28,0.78,0.38,0.67,0.3,0.62,0.29,0.69,0.34,0.79,0.22,0.71,0.22,0.76,0.37,0.67,0.32,0.67,0.36,0.38,0.38,0.12,0.14,98.96
331,0.61,0.28,0.75,0.23,0.8,0.38,0.71,0.23,0.7,0.39,0.72,0.39,0.63,0.22,0.8,0.33,0.78,0.29,0.67,0.32,0.66,0.35,0.71,0.37,0.74,0.31,0.74,0.28,0.79,0.29,0.71,0.25,0.73,0.28,0.76,0.39,0.75,0.38,0.67,0.3,0.67,0.4,0.73,0.4,0.73,0.34,0.69,0.22,0.01,0.18,0.19,0.19,100.0
332,0.71,0.29,0.62,0.23,0.62,0.21,0.75,0.36,0.62,0.2,0.61,0.35,0.68,0.28,0.61,0.31,0.75,0.35,0.77,0.27,0.73,0.24,0.63,0.26,0.67,0.34,0.61,0.27,0.6,0.4,0.65,0.2,0.75,0.22,0.64,0.4,0.72,0.37,0.8,0.21,0.66,0.21,0.61,0.23,0.72,0.37,0.77,0.21,0.41,0.28,0.89,0.38,91.67
333,0.69,0.26,0.79,0.32,0.7,0.27,0.71,0.34,0.75,0.38,0.74,0.35,0.7,0.31,0.71,0.29,0.62,0.25,0.8,0.29,0.73,0.28,0.64,0.39,0.63,0.4,0.63,0.35,0.67,0.39,0.77,0.25,0.65,0.3,0.72,0.3,0.74,0.24,0.75,0.32,0.64,0.29,0.77,0.2,0.72,0.22,0.77,0.24,0.55,0.21,0.64,0.12,94.79
334,0.77,0.34,0.75,0.3,0.66,0.26,0.76,0.26,0.78,0.26,0.67,0.27,0.72,0.27,0.75,0.25,0.78,0.21,0.68,0.4,0.78,0.26,0.69,0.35,0.68,0.26,0.6,0.22,0.69,0.38,0.64,0.2,0.6,0.2,0.72,0.33,0.68,0.23,0.61,0.27,0.66,0.34,0.77,0.22,0.65,0.28,0.62,0.34,0.97,0.09,0.68,0.28,69.79
335,0.71,0.37,0.8,0.4,0.63,0.4,0.76,0.38,0.74,0.26,0.67,0.29,0.8,0.29,0.76,0.37,0.76,0.21,0.74,0.38,0.68,0.39,0.77,0.34,0.78,0.22,0.67,0.33,0.7,0.39,0.73,0.38,0.61,0.3,0.78,0.28,0.73,0.36,0.6,0.38,0.64,0.37,0.79,0.29,0.66,0.23,0.64,0.4,0.7,0.0,0.59,0.02,82.29
336,0.74,0.2,0.67,0.26,0.61,0.35,0.7,0.27,0.73,0.26,0.63,0.25,0.7,0.27,0.73,0.28,0.69,0.22,0.76,0.28,0.8,0.22,0.76,0.23,0.79,0.35,0.61,0.25,0.8,0.21,0.72,0.4,0.62,0.2,0.74,0.36,0.61,0.22,0.61,0.31,0.64,0.35,0.74,0.35,0.61,0.36,0.78,0.33,0.81,0.25,0.68,0.21,82.29
337,0.67,0.36,0.68,0.3,0.71,0.29,0.77,0.2,0.71,0.39,0.71,0.22,0.79,0.2,0.71,0.4,0.69,0.25,0.8,0.27,0.74,0.26,0.71,0.39,0.65,0.39,0.64,0.26,0.62,0.24,0.68,0.29,0.6,0.3,0.78,0.28,0.68,0.39,0.8,0.28,0.74,0.3,0.72,0.25,0.62,0.33,0.72,0.28,0.12,0.26,0.97,0.2,83.33
338,0.8,0.36,0.73,0.28,0.75,0.24,0.64,0.21,0.65,0.38,0.8,0.31,0.65,0.34,0.68,0.27,0.74,0.33,0.66,0.33,0.61,0.29,0.6,0.21,0.8,0.29,0.76,0.3,0.8,0.2,0.77,0.35,0.78,0.38,0.66,0.31,0.64,0.26,0.64,0.31,0.74,0.34,0.77,0.26,0.72,0.32,0.68,0.35,0.61,0.3,0.73,0.13,82.29
339,0.78,0.24,0.74,0.27,0.8,0.33,0.71,0.35,0.76,0.33,0.62,0.33,0.68,0.24,0.69,0.38,0.69,0.21,0.79,0.37,0.78,0.4,0.67,0.28,0.77,0.27,0.77,0.4,0.61,0.33,0.64,0.32,0.62,0.29,0.79,0.39,0.76,0.38,0.65,0.37,0.66,0.21,0.72,0.33,0.8,0.28,0.77,0.3,0.11,0.06,0.84,0.1,96.88
340,0.69,0.36,0.72,0.24,0.8,0.37,0.78,0.22,0.77,0.37,0.8,0.37,0.79,0.37,0.76,0.38,0.78,0.24,0.68,0.35,0.64,0.28,0.66,0.36,0.65,0.2,0.68,0.2,0.61,0.26,0.75,0.21,0.62,0.29,0.65,0.33,0.77,0.24,0.73,0.36,0.66,0.4,0.77,0.35,0.7,0.34,0.67,0.2,0.73,0.07,0.0,0.25,95.83
341,0.61,0.37,0.73,0.35,0.79,0.3,0.78,0.28,0.78,0.22,0.74,0.29,0.77,0.32,0.69,0.38,0.71,0.26,0.73,0.4,0.62,0.23,0.68,0.32,0.72,0.27,0.67,0.24,0.75,0.37,0.7,0.26,0.71,0.22,0.64,0.28,0.63,0.22,0.73,0.4,0.7,0.38,0.75,0.2,0.62,0.23,0.72,0.33,0.71,0.3,0.33,0.1,83.33
342,0.69,0.26,0.79,0.24,0.76,0.24,0.6,0.31,0.71,0.27,0.78,0.31,0.78,0.21,0.61,0.38,0.73,0.38,0.68,0.34,0.75,0.32,0.65,0.28,0.66,0.35,0.76,0.23,0.71,0.39,0.72,0.37,0.63,0.39,0.73,0.27,0.61,0.39,0.71,0.38,0.71,0.32,0.72,0.23,0.79,0.37,0.65,0.29,0.3,0.01,0.16,0.38,100.0
343,0.65,0.36,0.77,0.23,0.77,0.34,0.65,0.23,0.63,0.31,0.7,0.33,0.69,0.35,0.7,0.39,0.6,0.22,0.68,0.37,0.8,0.3,0.7,0.22,0.65,0.25,0.7,0.33,0.64,0.35,0.66,0.26,0.65,0.27,0.71,0.21,0.62,0.33,0.63,0.38,0.74,0.27,0.79,0.35,0.79,0.27,0.67,0.21,0.93,0.39,0.83,0.17,75.0
344,0.68,0.26,0.66,0.31,0.71,0.26,0.62,0.28,0.63,0.38,0.67,0.36,0.61,0.39,0.76,0.35,0.72,0.39,0.77,0.39,0.71,0.3,0.75,0.35,0.66,0.3,0.6,0.38,0.69,0.28,0.63,0.31,0.6,0.32,0.6,0.24,0.79,0.24,0.74,0.29,0.74,0.4,0.69,0.29,0.68,0.35,0.71,0.33,0.22,0.12,0.44,0.21,100.0
345,0.72,0.25,0.66,0.2,0.73,0.21,0.74,0.37,0.8,0.39,0.79,0.32,0.67,0.27,0.6,0.39,0.76,0.37,0.78,0.29,0.73,0.32,0.7,0.39,0.63,0.37,0.77,0.23,0.77,0.24,0.73,0.2,0.67,0.36,0.6,0.25,0.63,0.24,0.74,0.35,0.64,0.24,0.6,0.25,0.78,0.28,0.79,0.32,0.5,0.07,0.36,0.03,98.96
346,0.8,0.39,0.73,0.37,0.61,0.3,0.66,0.25,0.68,0.26,0.62,0.38,0.8,0.36,0.61,0.4,0.63,0.26,0.67,0.37,0.67,0.36,0.64,0.3,0.69,0.38,0.71,0.28,0.78,0.38,0.76,0.36,0.6,0.35,0.74,0.4,0.76,0.21,0.73,0.39,0.65,0.34,0.73,0.32,0.6,0.3,0.72,0.35,0.95,0.29,0.88,0.04,94.79
347,0.7,0.32,0.74,0.39,0.68,0.32,0.66,0.27,0.62,0.2,0.61,0.31,0.77,0.36,0.71,0.4,0.68,0.25,0.72,0.24,0.77,0.25,0.68,0.2,0.7,0.38,0.74,0.28,0.76,0.31,0.75,0.39,0.8,0.32,0.6,0.35,0.8,0.28,0.62,0.3,0.74,0.25,0.71,0.34,0.62,0.31,0.6,0.29,0.61,0.16,0.05,0.18,83.33
348,0.64,0.4,0.63,0.22,0.76,0.39,0.62,0.28,0.8,0.37,0.77,0.28,0.63,0.37,0.63,0.21,0.66,0.26,0.65,0.28,0.62,0.27,0.76,0.37,0.64,0.32,0.72,0.38,0.62,0.3,0.75,0.36,0.67,0.38,0.78,0.38,0.6,0.22,0.69,0.23,0.69,0.3,0.6,0.38,0.6,0.39,0.69,0.2,0.24,0.35,0.44,0.34,100.0
349,0.65,0.38,0.64,0.32,0.79,0.37,0.6,0.22,0.72,0.22,0.6,0.23,0.72,0.26,0.67,0.36,0.71,0.25,0.65,0.27,0.78,0.35,0.69,0.3,0.76,0.2,0.67,0.31,0.78,0.2,0.71,0.22,0.69,0.28,0.77,0.39,0.77,0.37,0.72,0.34,0.61,0.25,0.67,0.28,0.63,0.25,0.68,0.34,0.73,0.25,0.94,0.3,95.83
350,0.73,0.32,0.77,0.34,0.63,0.35,0.77,0.39,0.75,0.27,0.61,0.27,0.78,0.35,0.72,0.26,0.63,0.4,0.73,0.34,0.66,0.34,0.67,0.33,0.75,0.39,0.74,0.28,0.68,0.26,0.61,0.24,0.74,0.23,0.6,0.3,0.71,0.32,0.8,0.33,0.67,0.4,0.74,0.36,0.78,0.33,0.78,0.32,0.45,0.21,0.05,0.21,100.0
351,0.73,0.21,0.73,0.26,0.62,0.32,0.68,0.27,0.69,0.3,0.64,0.29,0.66,0.4,0.79,0.28,0.67,0.35,0.77,0.26,0.76,0.4,0.68,0.27,0.63,0.31,0.72,0.21,0.74,0.37,0.62,0.21,0.67,0.36,0.7,0.22,0.7,0.31,0.77,0.33,0.69,0.3,0.68,0.36,0.73,0.23,0.67,0.3,0.13,0.34,0.42,0.27,100.0
352,0.7,0.32,0.8,0.29,0.71,0.38,0.75,0.4,0.68,0.38,0.69,0.35,0.78,0.26,0.62,0.37,0.73,0.38,0.65,0.22,0.67,0.27,0.68,0.2,0.73,0.3,0.76,0.3,0.75,0.27,0.66,0.27,0.6,0.37,0.79,0.3,0.71,0.4,0.71,0.3,0.66,0.26,0.75,0.25,0.62,0.36,0.72,0.38,0.44,0.35,0.44,0.08,100.0
353,0.75,0.38,0.67,0.38,0.7,0.34,0.64,0.26,0.62,0.27,0.65,0.22,0.63,0.29,0.75,0.36,0.69,0.4,0.72,0.33,0.76,0.39,0.69,0.27,0.76,0.39,0.79,0.4,0.7,0.34,0.69,0.23,0.68,0.25,0.69,0.23,0.75,0.3,0.65,0.39,0.72,0.2,0.68,0.29,0.7,0.21,0.7,0.27,0.93,0.31,0.24,0.12,78.12
354,0.7,0.24,0.61,0.36,0.68,0.2,0.62,0.3,0.7,0.31,0.71,0.32,0.64,0.4,0.61,0.27,0.61,0.27,0.79,0.32,0.71,0.36,0.63,0.21,0.8,0.38,0.74,0.33,0.77,0.29,0.65,0.25,0.76,0.37,0.74,0.3,0.78,0.35,0.61,0.37,0.7,0.32,0.62,0.31,0.6,0.4,0.72,0.4,0.79,0.05,0.65,0.04,81.25
355,0.62,0.36,0.62,0.4,0.67,0.33,0.72,0.37,0.72,0.31,0.74,0.32,0.73,0.33,0.76,0.37,0.72,0.34,0.68,0.37,0.63,0.4,0.72,0.27,0.7,0.3,0.76,0.31,0.62,0.36,0.79,0.31,0.8,0.24,0.72,0.23,0.62,0.2,0.78,0.26,0.79,0.39,0.64,0.2,0.72,0.33,0.8,0.21,0.99,0.24,0.66,0.11,66.67
356,0.77,0.21,0.75,0.28,0.63,0.21,0.74,0.37,0.62,0.22,0.74,0.33,0.64,0.2,0.65,0.3,0.63,0.34,0.71,0.27,0.76,0.24,0.62,0.28,0.64,0.23,0.77,0.21,0.75,0.24,0.61,0.25,0.67,0.35,0.75,0.2,0.74,0.33,0.72,0.4,0.68,0.31,0.72,0.39,0.68,0.36,0.65,0.29,0.99,0.19,0.8,0.16,66.67
357,0.68,0.39,0.73,0.4,0.69,0.29,0.75,0.23,0.69,0.21,0.75,0.23,0.61,0.39,0.68,0.29,0.72,0.39,0.68,0.2,0.6,0.35,0.6,0.22,0.77,0.22,0.7,0.25,0.65,0.34,0.69,0.22,0.64,0.26,0.67,0.26,0.67,0.38,0.68,0.34,0.68,0.35,0.63,0.38,0.75,0.27,0.61,0.39,0.69,0.27,0.88,0.12,83.33
358,0.75,0.27,0.67,0.22,0.8,0.23,0.71,0.23,0.7,0.39,0.69,0.24,0.66,0.2,0.63,0.23,0.76,0.34,0.8,0.23,0.77,0.37,0.62,0.35,0.76,0.26,0.62,0.33,0.68,0.23,0.7,0.23,0.63,0.3,0.76,0.24,0.66,0.3,0.74,0.21,0.65,0.36,0.64,0.38,0.68,0.2,0.61,0.39,0.63,0.15,0.55,0.2,100.0
359,0.8,0.23,0.69,0.26,0.8,0.28,0.74,0.23,0.61,0.21,0.78,0.37,0.62,0.28,0.68,0.23,0.76,0.24,0.65,0.21,0.71,0.24,0.64,0.34,0.71,0.22,0.72,0.28,0.77,0.21,0.77,0.32,0.73,0.36,0.72,0.4,0.75,0.3,0.68,0.21,0.62,0.27,0.77,0.31,0.63,0.3,0.67,0.38,0.64,0.24,0.08,0.05,95.83
360,0.74,0.33,0.62,0.3,0.63,0.29,0.63,0.23,0.71,0.39,0.76,0.3,0.62,0.2,0.8,0.21,0.65,0.31,0.65,0.29,0.79,0.21,0.73,0.38,0.66,0.35,0.62,0.21,0.66,0.31,0.75,0.25,0.6,0.27,0.66,0.36,0.66,0.26,0.72,0.34,0.68,0.24,0.76,0.29,0.8,0.31,0.71,0.35,0.24,0.29,0.63,0.07,95.83
361,0.7,0.33,0.77,0.21,0.67,0.27,0.66,0.29,0.75,0.4,0.61,0.3,0.73,0.22,0.6,0.21,0.76,0.4,0.8,0.35,0.73,0.35,0.66,0.21,0.61,0.27,0.73,0.27,0.79,0.26,0.76,0.31,0.73,0.31,0.7,0.25,0.66,0.34,0.62,0.3,0.74,0.24,0.8,0.38,0.7,0.35,0.65,0.2,0.36,0.07,0.8,0.09,100.0
362,0.77,0.4,0.63,0.35,0.71,0.32,0.68,0.38,0.61,0.32,0.72,0.32,0.64,0.36,0.73,0.29,0.75,0.21,0.75,0.37,0.6,0.29,0.63,0.35,0.68,0.23,0.69,0.32,0.8,0.24,0.73,0.35,0.64,0.32,0.7,0.29,0.8,0.22,0.67,0.33,0.68,0.34,0.8,0.34,0.8,0.21,0.7,0.4,0.38,0.08,0.56,0.15,97.92
363,0.69,0.26,0.67,0.39,0.62,0.39,0.76,0.29,0.71,0.23,0.62,0.31,0.8,0.29,0.71,0.37,0.77,0.24,0.73,0.37,0.74,0.24,0.6,0.39,0.63,0.35,0.62,0.24,0.79,0.32,0.62,0.39,0.64,0.21,0.64,0.4,0.73,0.23,0.7,0.25,0.6,0.38,0.76,0.26,0.79,0.2,0.8,0.37,0.61,0.06,0.74,0.16,83.33
364,0.74,0.38,0.69,0.25,0.75,0.31,0.64,0.39,0.63,0.38,0.78,0.31,0.64,0.4,0.8,0.38,0.8,0.3,0.62,0.32,0.76,0.3,0.73,0.27,0.73,0.21,0.6,0.33,0.68,0.35,0.8,0.27,0.65,0.2,0.67,0.21,0.7,0.4,0.64,0.22,0.63,0.4,0.76,0.4,0.79,0.27,0.69,0.32,0.37,0.05,0.19,0.09,100.0
365,0.77,0.2,0.78,0.22,0.62,0.22,0.79,0.31,0.74,0.3,0.61,0.32,0.73,0.3,0.8,0.28,0.65,0.35,0.62,0.38,0.8,0.34,0.68,0.21,0.8,0.29,0.79,0.39,0.75,0.29,0.79,0.24,0.62,0.39,0.73,0.34,0.77,0.21,0.7,0.26,0.61,0.31,0.64,0.38,0.67,0.23,0.7,0.39,0.87,0.07,0.91,0.34,88.54
366,0.78,0.28,0.63,0.21,0.78,0.21,0.6,0.22,0.68,0.39,0.68,0.39,0.61,0.38,0.78,0.33,0.69,0.37,0.75,0.35,0.68,0.31,0.65,0.28,0.77,0.35,0.7,0.39,0.69,0.28,0.77,0.28,0.78,0.32,0.71,0.25,0.6,0.37,0.71,0.38,0.78,0.35,0.77,0.27,0.72,0.28,0.72,0.34,0.7,0.28,0.01,0.21,83.33
